ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
1650,UI/UX designer,Electrical Engineer,Bsc.Biochemistry ,5,Advertising & Marketing
1651,Product Designer,Industrial Engineer,Bsc.Economics ,5,Advertising & Marketing
1652,Product Designer,Marine Engineer,Bsc.Accounting ,6,Logistics & Transportation
1653,Product Designer,Mechanical Engineer,Bsc.Business Administration and Management ,5,IT Management
1654,Founder,Network Engineer,Bsc.Marine Biology,10,Software
1655,Product Designer,Robotics Engineer,"BA,Linguistics ",8,Manufacturing
1656,Creative Designer,Software Developer,"BASc, Computer Science",11,Advertising & Marketing
1657,Customer success asssociate,Software Engineer,B.Eng. Electrical and Electronics Engineering,10,Business Products & Services
1658,Research Fellow,Systems Engineer,"Bachelor's degree, Systems Engineering",6,Retail
1659,UX design Intern,Web Developer,"Bachelor degree, Banking and Finance",5,Software
1660,Senior Business Analyst,Acupuncturist,"BS, Geophysics",5,Retail
1661,Graphics designer,Anesthesiologist,"BSc, Geography and Environmental Management",3,Construction
1662,Product Design lead,Cardiologist,"BE, Mechanical Engineering",4,Software
1663,,Chiropractor,B.s.c Mass communications ,5,Logistics & Transportation
1664,Backend Machine Learning Developer,Dentist,"Bsc, Computer Science",8,Business Products & Services
1665,Research Assistant ,Dental Hygienist,"BTech, Computer Engineering",5,Software
1666,Brand Retail Executive,Dietician,"BS, Agricultural and Environmental Engineering",6,Construction
1667,Graduate Civil Engineering ,Emergency Medical Technician (EMT),"BSc, Computer Science",0,Telecommunications
1668,Audit Trainee,Family Physician,B.Sc. Electrical and Electronics Engineering,6,Advertising & Marketing
1669,Financial Service consultant ,Genetic Counselor,"BE, Computer Engineering",4,Retail
1670,Personal Assistant ,Massage Therapist,"BE, Computer Engineering",5,Software
1671,Process Engineer ,Medical Assistant,"Bachelor's degree, Economics",5,Financial Services
1672,Plant operations and Maintenance ,Nurse,"BBA, Business Analytics",6,IT System Development
1673,"Quality Assurance,Quality Control Supervisor ",Occupational Therapist,"BS, Computer Science",10,Software
1674,Civil Structure Engineer,Optometrist,"Bachelor's degree, Accounting",10,Energy
1675,Procurement Service Advisor,Orthodontist,"BA, English Language and Literature",8,Business Products & Services
1676,Head of Information Technology,Pharmacist,"Bachelor’s Degree, Cinematography and Film/Video Production",5,Business Products & Services
1677,Head of IT,Physical Therapist,"BE, mechantronics engineering",5,Software
1678,Product Designer,Physician Assistant,BSc Electrical and Electronics Engineering ,5,Consumer Products & Services
1679,UI/UX Design Intern,Psychologist,"Bachelor’s Degree, Electrical and Electronics Engineering",6,IT System Development
1680,Product Designer,Radiologist,"BSc. (hons), Electrical & Electronic Engineering",5,Software
1681,Co-founder ,Registered Nurse (RN),"BE, Electrical and Electronics Engineering",5,Government Services
1682,Senior User Interface Designer ,Speech-Language Pathologist,B Tech. in Quantity Surveying,7,Construction
1683,Content Writer,Surgeon,"BS, Computer Science",4,Advertising & Marketing
1684,,Veterinarian,"BS, Computer Science",5,Human Resources
1685,Product designer ,Lawyer,"BA, English Language and Literature, General",3,Health
1686,Product designer,Law Enforcement Officer,"BE, Mechanical Engineering",8,Education
1687,,Paralegal,"Bachelor's degree, Mass Communication/Media Studies",0,Travel & Hospitality
1688,Learning and development Associate,Politician,"Bachelor of Science (B.Sc.), Computer Science",4,Construction
1689,Senior Recruiter,Social Worker,B.Sc. Computer Science,5,Software
1690,Senior Product Manager,Astronomer,"BSc, Cell Biology, Molecular Biology, and Genetics",10,Financial Services
1691,Affiliate Marketing Specialist,Biochemist,"BS, Biochemistry",10,Health
1692,Digital entrepreneur,Biologist,"BEd, Guidance and counseling ",10,Environmental Services
1693,Product Designer,Chemist,"Bachelor's degree, Biochemistry",2,Energy
1694,Health Writer Contributor,Climatologist,LLB. Law,10,Education
1695,Lead Visual designer,Ecologist,"BS, Biology/Biological Sciences, 
",12,Health
1696,"Head, Talent Development and Outsourcing",Geologist,"Bachelor's degree, Natural Sciences( Microbiology)
",2,Engineering
1697,Geoscientist Intern,Marine Biologist,"BSc, Accounting",8,IT Management
1698,Product Owner,Mathematician,B.Sc Accounting,5,Food & Beverage
1699,Scrum Master,Meteorologist,"BA, Mass Communication/Media Studies",10,Business Products & Services
1700,Software Engineer team lead,Paleontologist,"BS, Accounting",8,Software
1701,Software Engineer,Physicist,"Bachelor of Laws - LLB, Law",10,Advertising & Marketing
1702,Software Engineer ,Research Scientist,"BS, Geography",7,Software
1703,Frontend Engineer,Statistician,"Bachelor's degree, civil engineering",5,Food & Beverage
1704,Lead UX Designer ,Counselor,"BE, Electrical and Electronics Engineering",10,Human Resources
1705,Product Designer,Life Coach,"BSc, Biochemistry",7,Software
1706,Technology Advocate,Probation Officer,"BTech, urban and regional planning",3,Retail
1707,Customer success associate,Social Worker,"BS, Computer Science",10,Health
1708,Customer success associate,Therapist,"Bachelor of Science - BS, Sociology",10,Advertising & Marketing
1709,Finance Operations Analyst for Paystack,Barber,"B.Sc, Microbiology, General",9,Business Products & Services
1710,Product Designer,Carpenter,Bachelor of Industrial Mathematics,8,Software
1711,Product Designer,Electrician,BSc Computer Science,2,Construction
1712,Product Design Lead - Payments,Hairdresser,BS Marine Biology and Biological ,10,Health
1713,Ux Researcher,HVAC Technician,Bsc.Psychology ,9,Consumer Products & Services
1714,User Experience Researcher ,Landscaper,Bsc.Psychology ,5,Telecommunications
1715,User Experience Researcher ,Mechanic,Bsc.Mass Communication ,10,Retail
1716,Ux Researcher,Plumber,Bsc.Biology/Biological ,0,Construction
1717,"Divisional Head-Design,Research and User Experience",Welder,Bsc.Electrical and Electronics Engineering ,10,Logistics & Transportation
1718,Brand Design Lead,Athletic Trainer,"Bsc,Economics ",10,Business Products & Services
1719,Product Designer,Event Planner,Bsc.Sociology ,4,Advertising & Marketing
1720,Product Designer-Remote,Fitness Instructor,Bsc.Computer Science ,6,IT Management
1721,"Senior Co-ordinator,UI/UX Design-Remote",Flight Attendant,Bsc.Computer Science ,6,Business Products & Services
1722,Product Designer,Hospitality Manager,Bsc.Mass Communication ,4,Security
1723,Digital Marketing Consultant,Pilot,Bsc.Computer Science ,10,Consumer Products & Services
1724,Product Designer,Travel Agent,"BA,  Linguistics ",10,Security
1725,Lead Sales Funnel Strategist,Illustrator,"BA,  Linguistics ",7,Financial Services
1726,Technology Analyst,Industrial Designer,B.Eng Mechanical Engineering ,9,Consumer Products & Services
1727,Quality Assurance and Security Testing,Interior Designer,"BASc, Management Information Systems",10,Human Resources
1728,Digital Marketing manager,Jewelry Designer,"BSc City/Urban, Community and Regional Planning",7,Human Resources
1729,Creative Designer,Landscape Architect,B.Tech. Computer Engineering,5,Software
1730,Brand Designer,Lighting Designer,BSc Geology/Earth Science,5,Health
1731,Campus Ambassador,Makeup Artist,BSc Electrical and Electronics Engineering ,0,Consumer Products & Services
1732,UI/UX designer,Musician,BA Theatre annd media arts,5,Advertising & Marketing
1733,Logistics and Supply Chain Officer,Music Producer,"Bachelor's degree, Public Administration",5,Construction
1734,Affiliate sales manager,Photographer,"Bachelor's degree, political Science ",4,Real Estate
1735,President/founder ,Public Relations Specialist,BA Linguistics ,6,Insurance
1736,Human Resources Associate,Set Designer,BSc Microbiology,5,Health
1737,Advocacy and Communications Officer,Songwriter,BSc in Environmental Design,10,Computer Hardware
1738,Project Assistant ,Sound Designer,BA Business Management ,10,Health
1739,Product Designer,Special Effects Artist,BA.Philosophy ,10,Business Products & Services
1740,Economist,Stylist,Bsc.Economics ,5,Construction
1741,Executive Personal Assistant ,Tattoo Artist,Bsc.Micro Biology ,10,Advertising & Marketing
1742,Customers Service Representative ,Teacher,Bsc.Biochemistry ,4,Advertising & Marketing
1743,,Urban Planner,Bsc.Economics ,3,Business Products & Services
1744,President,Video Editor,Bsc.Accounting ,10,Consumer Products & Services
1745,Brand Manager ,Video Game Designer,Bsc.Biology and Biological Science,7,Logistics & Transportation
1746,Product Designer-Remote,Web Designer,Bsc.Business Administration and Management ,5,Human Resources
1747,Senior Associate/people Operations ,Writer,Bsc.Marine Biology,10,Education
1748,People Operation Associate ,Accountant,"BA,Linguistics ",4,Software
1749,Software Engineer,Actuary,B.Eng. Electrical and Electronics Engineering,10,Construction
1750,Software Engineer 2,Auditor,"Bachelor's degree, Systems Engineering",0,IT Management
1751,Software Engineer ,Business Analyst,"Bachelor degree, Banking and Finance",7,Logistics & Transportation
1752,Climate fellow,Business Consultant,"BS, Geophysics",5,IT Management
1753,Senior Software Engineer,Entrepreneur,"BSc, Computer Science with Economics",5,Food & Beverage
1754,UI/UX designer,Financial Analyst,"BSc, Geography and Environmental Management",4,Business Products & Services
1755,Founder,Human Resources Manager,"BS, Civil and Environmental Engineering",3,Software
1756,Co-Founder,Insurance Agent,"BE, Mechanical Engineering",7,Travel & Hospitality
1757,Product designer,Investment Banker,B.s.c Mass communications ,2,Software
1758,Lead Product Designer,Loan Officer,"Bsc, Computer Science",3,Health
1759,Creative Designer,Marketing Manager,"BTech, Computer Engineering",7,Software
1760,Senior Product Designer,Market Researcher,"BS, Agricultural and Environmental Engineering",5,Software
1761,Design Manager Fellow,Operations Manager,"BSc, Computer Science",8,Logistics & Transportation
1762,"Divisional Head, Design, Research & User Experience",Project Manager,B.Sc. Electrical and Electronics Engineering,10,Financial Services
1763,Full-stack Developer,Public Relations Specialist,"BE, Computer Engineering",3,Real Estate
1764,UI/UX Designer,Real Estate Agent,"Bachelor's degree, Economics",3,Advertising & Marketing
1765,Virtual Assistant,Sales Manager,"Bachelor's degree, Computer Engineering",5,Environmental Services
1766,Chief Executive Officer,Stockbroker,"BBA, Business Analytics",0,Manufacturing
1767,Lead Desiger,Tax Advisor,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",7,Real Estate
1768,Executive Virtual Assistant,College Professor,"Bachelor's degree, Accounting",7,Education
1769,Copywriter,Curriculum Developer,"BA, English Language and Literature",2,Government Services
1770,Owner,Educational Therapist,"Bachelor’s Degree, Cinematography and Film/Video Production",2,Real Estate
1771,Research Development Department Specialist,Guidance Counselor,"BE, Mechanical Engineering",7,Insurance
1772,Software Engineer ,Instructional Designer,"BTech, Computer Science",5,Real Estate
1773,Software Engineer,Language Teacher,"Bachelor’s Degree, Electrical and Electronics Engineering",0,Construction
1774,Principal Software Engineering Manager,Librarian,"BSc. (hons), Electrical & Electronic Engineering",4,IT System Development
1775,Product Manager,Preschool Teacher,BSc Computer Science,5,IT System Development
1776,Senior Product Designer,School Principal,"BE, Electrical and Electronics Engineering",10,IT System Development
1777,Partner,Special Education Teacher,B Tech. in Quantity Surveying,2,Business Products & Services
1778,Product Design Lead,Teacher,"BS, Computer Science",5,IT Management
1779,Senior Product Designer,Teacher Trainer,"BE, Mechanical Engineering",10,Business Products & Services
1780,Product Business Development Manager,Tutor,"Bachelor's degree, Mass Communication/Media Studies",6,Financial Services
1781,Software Engineer II,Aerospace Engineer,"Bachelor of Science (B.Sc.), Computer Science",10,Advertising & Marketing
1782,Technical Account Manager,Biomedical Engineer,B.Sc. Computer Science,7,Advertising & Marketing
1783,Stripe Certified Developer,Chemical Engineer,"Bachelor of Engineering - BE, Electronic Engineering",0,Business Products & Services
1784,Software Engineer II - Edge Shopping,Civil Engineer,"BSc, Cell Biology, Molecular Biology, and Genetics",5,Business Products & Services
1785,"Analyst, Oil, Gas & Power Practice",Computer Engineer,"BS, Biochemistry",5,Manufacturing
1786,Product Designer,Data Scientist,"Chemistry/Education , Education",8,Advertising & Marketing
1787,Director,Electrical Engineer,"BEd, Guidance and counseling ",5,IT Management
1788,Digital Marketing Manager,Industrial Engineer,"Bachelor's degree, Biochemistry",10,Environmental Services
1789,,Marine Engineer,LLB. Law,6,IT Management
1790,Administrative Assistant,Mechanical Engineer,"B. Fisheries, Aquaculture",4,Food & Beverage
1791,Data Analyst,Network Engineer,"BS, Biology/Biological Sciences, 
",3,Business Products & Services
1792,Regional E-Banking Sales Coordinator,Robotics Engineer,bsc accounting,9,Construction
1793,Executive Trainee,Software Developer,bsc business administration,5,Software
1794,Accountant,Software Engineer,bsc electrical engineering,7,Real Estate
1795,Senior Product Designer,Systems Engineer,bsc estate management,0,Food & Beverage
1796,Senior Product Designer,Web Developer,bsc environmental science,9,Advertising & Marketing
1797,Sr. Visual Designer,Acupuncturist,bsc geography,8,Manufacturing
1798,Product Designer,Anesthesiologist,bsc geology,10,Business Products & Services
1799,User Experience Designer,Cardiologist,bsc industrial chemistry,8,Government Services
1800,,Chiropractor,bsc information technology,3,Human Resources
1801,,Dentist,bsc mathematics,4,Advertising & Marketing
